"ID","ESP_NAME","ADDRESS","CITY","COUNTY","STATE","ZIPCODE","LATITUDE","LONGITUDE","ESP_SCORE"
505886,"LA130000001","603 D Street","Duson","Lafayette","LA",70529,30.23998,-92.180929,66
505887,"GA006000772","218 Merritts Ave NW","Atlanta","Fulton","GA",30313,33.768702,-84.394727,91
505888,"GA006000770","120 Merritts Ave NW","Atlanta","Fulton","GA",30313,33.768652,-84.392906,90
505889,"DC001001830","1227 New Jersey Ave NW","Washington","District Of Columbia","DC",20001,38.906725,-77.014991,69
505890,"LA101000001","600 Eugene St Apt 101A","Denham Springs","Livingston","LA",70726,30.478263,-90.954415,87
505891,"LA047000001","N. Lahasky","Erath","Vermilion","LA",70533,29.8768,-92.0545,89
505892,"LA001007303","1127 S Galvez St","New Orleans","Orleans","LA",70125,29.951841,-90.091428,71
505893,"NC013000013","6 Plummer Pl","Durham","Durham","NC",27703,35.983339,-78.845625,69
505894,"PA002000129","1006 Cambridge St","Philadelphia","Philadelphia","PA",19123,39.969513,-75.153273,97
505895,"MA003000301","100 Harvard St","Cambridge","Middlesex","MA","02139",42.364961,-71.093306,97
505896,"PA002000132","1416 Clearview St","Philadelphia","Philadelphia","PA",19141,40.040464,-75.145217,98
505897,"PA002000100","3481 W Huntingdon St","Philadelphia","Philadelphia","PA",19132,39.995314,-75.188564,96
505898,"OH005000001","465 W Grand Ave","Dayton","Montgomery","OH",45405,39.769013,-84.205466,91
505899,"GA006000771","201 Pine St NW","Atlanta","Fulton","GA",30313,33.767972,-84.393049,92
505900,"OH005000007","1800 Germantown St","Dayton","Montgomery","OH",45417,39.744055,-84.224989,89
505901,"LA034000001","804 Oaklawn Dr","Abbeville","Vermilion","LA",70510,29.978578,-92.12316,87
505902,"MS005000015","1450 Beach Blvd Apt 521","Biloxi","Harrison","MS",39530,30.394729,-88.922941,63
505903,"RQ005001021","RES. VISTAS DE ISABELA","Isabela","Isabela","PR","00662",18.4842,-67.0179,96
505904,"RQ005005014","1 Res Sabana Abajo Apt 69","Carolina","Carolina","PR","00982",18.3985,-65.9857,92
505905,"RQ005002016","1 Calle Fruto Arana Apt 1","Hatillo","Hatillo","PR","00659",18.4859,-66.8207,96
505906,"RQ005010037","1 Res Jard Selles Apt 6A-01","San Juan","San Juan","PR","00924",18.3995,-66.0253,91
505907,"RQ005010057","570 Calle Flandes","San Juan","San Juan","PR","00923",18.4181,-66.0346,95
505908,"RQ005009003","1 Res Luis Munoz Rivera Apt 1","Guanica","Guanica","PR","00653",17.9748,-66.9057,95
505909,"RQ005005015","1 Carolina Housing Apt 63","Carolina","Carolina","PR","00987",18.3646,-65.9847,91
505910,"RQ005009004","1 Res Jard De Guanica Apt 1","Guanica","Guanica","PR","00653",17.9748,-66.9057,99
505911,"RQ005002028","2 Carr 676 Apt 65","Vega Alta","Vega Alta","PR","00692",18.412738,-66.326938,90
505912,"RQ005001018","82 Calle Mj Cabrero","San Sebastian","San Sebastian","PR","00685",18.339084,-66.989742,91
505913,"RQ005009025","1 Ext Dr Pila","Ponce","Ponce","PR","00716",17.9933,-66.6227,91
505914,"RQ005010029","915 Calle Cerra Apt 1","San Juan","San Juan","PR","00907",18.448076,-66.081171,92
505915,"RQ005008022","1 Res Mayaguez Gdns Apt 1","Mayaguez","Mayaguez","PR","00680",18.1799,-67.1492,96
505916,"RQ005001019","1 Res San Andres","San Sebastian","San Sebastian","PR","00685",18.3431,-67.0038,99
505917,"RQ005009007","31 Res Mattei I","Jayuya","Jayuya","PR","00664",18.2199,-66.5914,95
505918,"RQ005010060","201 Ave Fndez Juncos","San Juan","San Juan","PR","00901",18.463287,-66.100639,98
505919,"RQ005010042","2 Calle B","San Juan","San Juan","PR","00924",18.408782,-66.028265,97
505920,"RQ005002031","30 Res Enrique Catoni Apt 65","Vega Baja","Vega Baja","PR","00693",18.4476,-66.3981,91
505921,"RQ005008005","Jardines de Las Marias","Las Marias","Las Marias","PR","00670",18.2618,-66.9884,98
505922,"RQ005004001","1 Res Vista Alegre Apt 1","Aguas Buenas","Aguas Buenas","PR","00703",18.2571,-66.1053,90
505923,"RQ005008016","1 Res Kennedy","Mayaguez","Mayaguez","PR","00682",18.2042,-67.1444,98
505924,"RQ005005012","1 Res El Coral Apt 39","Carolina","Carolina","PR","00985",18.3988,-65.9574,94
505925,"RQ005005030","1 Res Jard De Vieques Apt 35","Vieques","Vieques","PR","00765",18.1519,-65.4466,92
505926,"RQ005002013","A1 RES. ALTURAS DE CIALES","Ciales","Ciales","PR","00638",18.2869,-66.4768,90
505927,"RQ005010002","1 Res San Antonio Apt 569","San Juan","San Juan","PR","00901",18.4628,-66.0979,93
505928,"RQ005001003","1 Res Los Robles","Aguada","Aguada","PR","00602",18.3802,-67.1807,97
505929,"RQ005006010","J1 Cidra Housing","Cidra","Cidra","PR","00739",18.1644,-66.1558,93
505930,"RQ005006002","1 Res Villa Univ Apt 1","Barranquitas","Barranquitas","PR","00794",18.183394,-66.304191,94
505931,"RQ005010035","1207 Ave Monte Carlo Apt 1","San Juan","San Juan","PR","00924",18.393167,-66.013628,91
505932,"RQ005009001","1 Res Villa Valle Verde","Adjuntas","Adjuntas","PR","00601",18.1719,-66.7195,96
505933,"RQ005009031","A Res Perla Del Caribe","Ponce","Ponce","PR","00730",18.0421,-66.5885,91
505934,"RQ005006033","RES. ESTANCIAS SANTA ISABEL","Santa Isabel","Santa Isabel","PR","00757",17.9686,-66.4004,99
505935,"AR102000001","605 Buster St Apt 17","Coal Hill","Johnson","AR",72832,35.433794,-93.681571,96
505936,"FL005000847","21520 SW 113th Ave","Miami","Miami-Dade","FL",33189,25.566952,-80.374542,90
